"","FIPS","Year","PM2.5","CMR"
"1","01001",1990,9.74979226461095,471.758887787074
"2","01001",1991,9.06944299404809,456.86965102888
"3","01001",1992,9.10535203432875,520.014377454146
"4","01001",1993,8.75287324862165,454.436424761146
"5","01001",1994,9.02404857811536,415.035332443131
"6","01001",1995,8.40454508130466,352.065432454373
"7","01001",1996,8.34982556049584,452.984638990367
"8","01001",1997,8.5090999655443,420.085364423668
"9","01001",1998,8.56681402613968,486.994749822245
"10","01001",1999,9.05959337901373,417.782427022168
"11","01001",2000,9.14437214191371,421.482484954097
"12","01001",2001,8.30574183356208,435.246985737905
"13","01001",2002,7.52803766484893,377.069392509068
"14","01001",2003,7.86138104539351,400.232266808147
"15","01001",2004,8.01104666126857,316.444865922949
"16","01001",2005,7.66758029611984,461.049967531161
"17","01001",2006,7.98253334962569,376.166773518412
"18","01001",2007,8.02798039769893,329.221908071751
"19","01001",2008,7.1498587061445,328.996894557915
"20","01001",2009,6.40209056471493,330.876171690133
"21","01001",2010,6.94277825833759,316.911479178019
"22","01003",1990,7.78472231084726,403.981094613944
"23","01003",1991,7.15352166151334,418.89084648066
"24","01003",1992,7.31532359140881,365.717335263653
"25","01003",1993,6.80711624171541,335.577207544357
"26","01003",1994,7.47424485848678,305.346594599142
"27","01003",1995,6.93134318792716,316.081670374611
"28","01003",1996,6.61302882835357,308.049087075848
"29","01003",1997,7.00584919624022,320.706201706771
"30","01003",1998,6.85458991444577,344.193098574015
"31","01003",1999,7.30683463168532,330.535298096669
"32","01003",2000,7.35794889017371,300.675912593778
"33","01003",2001,6.60640256030398,325.450317606693
"34","01003",2002,5.855265307258,307.909927274689
"35","01003",2003,6.45202780711162,292.902381216988
"36","01003",2004,6.71128090764743,308.754073883284
"37","01003",2005,6.36512508273715,325.778285295076
"38","01003",2006,6.65776981911712,304.727323701126
"39","01003",2007,7.38761478455117,276.174505144525
"40","01003",2008,5.93658554956215,269.302716830759
"41","01003",2009,5.41908731462992,270.402215700344
"42","01003",2010,5.83770358880245,276.377191061562
"43","01005",1990,8.52755709639458,566.01104960372
"44","01005",1991,7.5465223795294,514.356953628976
"45","01005",1992,7.64480518477998,428.107522468372
"46","01005",1993,7.41980249875887,422.9746850828
"47","01005",1994,7.66050030587254,337.619119095495
"48","01005",1995,7.16592161557014,418.748288415348
"49","01005",1996,7.39383182675871,410.739601635437
"50","01005",1997,7.36534294796855,387.423443981638
"51","01005",1998,7.54665395627263,444.07081790025
"52","01005",1999,8.05888553907224,405.319424615515
"53","01005",2000,8.24382314731441,407.769759139548
"54","01005",2001,7.3066016960336,403.923462474772
"55","01005",2002,6.67341061342657,449.147286332999
"56","01005",2003,6.97388878347122,370.929184593111
"57","01005",2004,7.16222317468305,376.834374002476
"58","01005",2005,6.74357217465205,423.69534687733
"59","01005",2006,7.29042265314134,341.878529278754
"60","01005",2007,7.68205627498404,311.377775220923
"61","01005",2008,6.35515411882846,248.240203215221
"62","01005",2009,5.84012354707542,383.159080491041
"63","01005",2010,6.33994082626066,387.051896291562
"64","01009",1990,11.8863698856808,507.961824497671
"65","01009",1991,11.2942208083607,460.228910470795
"66","01009",1992,11.2889659054159,392.368929872824
"67","01009",1993,10.649101459572,376.855948231364
"68","01009",1994,11.0417493726406,375.456007397622
"69","01009",1995,10.2150120458245,388.847393425387
"70","01009",1996,10.2033969899204,393.884111088582
"71","01009",1997,9.99873489252042,396.237518415393
"72","01009",1998,10.4513654444111,429.732033580579
"73","01009",1999,10.5600727340609,404.543246943485
"74","01009",2000,10.3355702047113,321.960061727887
"75","01009",2001,9.82176377185741,339.341433866305
"76","01009",2002,8.8196204479712,367.737737644978
"77","01009",2003,9.05471052278675,377.380749203252
"78","01009",2004,9.14345456958636,364.221939825725
"79","01009",2005,8.97269409918949,354.850583852119
"80","01009",2006,8.90970345262064,348.719599279198
"81","01009",2007,8.92150495583594,335.547241088014
"82","01009",2008,8.13673405548388,331.812129067358
"83","01009",2009,7.09108980566084,285.100811592035
"84","01009",2010,7.89720046281604,279.421127781161
"85","01011",1990,9.46721142320324,552.55837819727
"86","01011",1991,8.50276785001428,410.672894455743
"87","01011",1992,8.6508460866901,473.673625960808
"88","01011",1993,8.42037096033678,483.368648366483
"89","01011",1994,8.53471975565782,452.838778653054
"90","01011",1995,7.99567686260106,402.598091894782
"91","01011",1996,8.11810328117167,407.655166787612
"92","01011",1997,8.22101961414643,426.452153878103
"93","01011",1998,8.40396314306588,420.111109730264
"94","01011",1999,8.98597266331594,464.167691059506
"95","01011",2000,9.08164084337621,437.275617741421
"96","01011",2001,8.16848401172339,407.785260213988
"97","01011",2002,7.50813050759043,382.561159230296
"98","01011",2003,7.82447694612372,386.266111353816
"99","01011",2004,7.99960506032806,390.251080053925
"100","01011",2005,7.63494092062313,377.304208835358
"101","01011",2006,8.12292996415423,376.451830256409
"102","01011",2007,8.23916596175733,334.124905019839
"103","01011",2008,7.19373422657495,324.977892591685
"104","01011",2009,6.54872888416516,310.851334751206
"105","01011",2010,7.17126594601172,362.096029583216
"106","01013",1990,8.22627036551847,509.207865656176
"107","01013",1991,7.39927950820922,544.496232673747
"108","01013",1992,7.43840623261163,489.720069043596
"109","01013",1993,7.24462789957106,523.30683729878
"110","01013",1994,7.52519297116216,530.239072787138
"111","01013",1995,6.98570520829287,494.328512563361
"112","01013",1996,7.07442326580123,592.019888474056
"113","01013",1997,7.17757845662147,445.966119876397
"114","01013",1998,7.17260513112859,403.510368666186
"115","01013",1999,7.7518214144776,540.400690049162
