,FIPS,civil_unemploy_1990,civil_unemploy_2000,civil_unemploy_2010,median_HH_inc_1990,median_HH_inc_2000,median_HH_inc_2010,femaleHH_ns_pct_1990,femaleHH_ns_pct_2000,femaleHH_ns_pct_2010,vacant_HHunit_1990,vacant_HHunit_2000,vacant_HHunit_2010,owner_occ_pct_1990,owner_occ_pct_2000,owner_occ_pct_2010,eduattain_HS_1990,eduattain_HS_2000,eduattain_HS_2010,pctfam_pover_1990,pctfam_pover_2000,pctfam_pover_2010,healthfac_1999,healthfac_2005,healthfac_2005_1999,population_2000
1298,37089,2.6,2.6,7.2,26967,38109,46446,11.07279512,8.4,9.1,15.88585157,13,16.9,76.7,78.8,75.1,76.2,29.2,27.5,7.503756574,6.8,9.2,1.962477432,2.298902134,0.336424703,89173
1299,37091,5.9,4.7,12.3,18180,26422,30878,24.87755447,19.5,20.8,8.117249154,7.9,12.2,68.6,70,67,58.1,30.9,32.1,19.74056212,15.9,17.5,2.212291492,3.141453918,0.929162426,22601
1300,37093,5.1,4,10.2,22770,33230,42927,27.70107007,18.2,18.9,7.425928241,9.1,9.2,75.3,75,70.7,55.7,32.4,28.2,17.46248295,14.4,16.7,0,0.95107888,0.95107888,33646
1301,37097,3.9,2.7,8.7,28627,41920,48962,14.97264506,11.3,12.2,9.231711362,8.8,11.3,75.1,75.4,73.1,66.5,32.1,31.7,7.026886125,6.2,9.3,2.127833034,2.739279309,0.611446274,122660
1302,37099,5.7,6.5,6.7,21520,32552,37190,14.07460545,10,9.7,31.09165955,31.6,36.6,75.6,72.5,64.6,68.7,25.7,27.3,11.66267099,9.5,11.8,1.902116482,2.264424383,0.362307901,33121
1303,37101,4.2,2.6,7.8,25169,40872,49745,15.65232373,10.6,12.4,7.626126653,7.2,8.5,69.9,73.4,73.2,64.6,31.8,29.4,11.52864074,8.9,11.1,0.918296233,1.369245275,0.450949043,121965
1304,37103,4.8,2.8,8.7,19392,30882,38354,18.26449413,15.2,14.6,8.801253591,13.2,13.9,78.1,79.8,75,62.4,36.4,37.7,16.91957511,14.2,13,0,0,0,10381
1305,37105,5.1,3,9.8,26419,38900,44120,18.18723912,13.4,15,7.461366049,7.2,8.6,72.6,71.7,66.5,72.4,29.9,30.3,11.53684917,9.8,11.6,1.835236542,2.528548124,0.693311582,49040
1306,37107,4.8,4.8,9.1,21207,31191,33625,24.32899878,17.3,19.1,7.586671722,12.2,11.3,63.1,67,62.3,62.9,31.3,30.9,15.59075071,12.6,18,2.011802575,2.447693133,0.435890558,59648
1307,37109,4.2,2.6,9.8,28662,41421,47450,12.4616329,10,11.1,7.058299074,6.5,9.8,78.9,78.5,76,62,31.8,30.5,7.333288108,6.9,10.3,1.160238319,1.379742866,0.219504547,63780
1308,37111,6.1,2.8,9.6,22562,32396,34953,13.14875555,10.2,11.7,9.349943675,9.6,14.3,77.1,77.2,73.5,58.5,36,36.7,8.374194789,9,13.3,1.138763019,1.257384166,0.118621148,42151
1309,37113,3.6,2.7,7.6,20450,32139,38615,10.68417415,8,9.4,42.73902411,38.2,42.2,82.8,81.3,77.3,66.7,32.2,31.8,12.01534457,8.8,12.9,1.912045889,2.549394519,0.63734863,29811
1310,37115,4.4,3,6.9,18956,30985,38580,10.73657928,8.9,9.4,15.37759228,17.7,19.9,77.8,76.6,76.7,56.4,31.8,34.2,15.50911698,10.9,12.2,1.018589254,1.069518717,0.050929463,19635
1311,37117,5.4,4.7,10.1,19995,28793,34766,22,17.6,16.8,7.788994458,8.3,11.8,68.8,71.8,68,58.3,34.6,36.2,18.55432117,16.3,18.3,1.211268706,1.758293283,0.547024577,25593
1312,37119,2.7,3.7,8.8,33830,50579,55294,18.61626514,12.4,14.6,7.484197102,6.6,9.1,59.7,62.3,60.6,81.6,19.9,20.3,7.203998519,6.6,9.2,1.853465506,2.304969128,0.451503622,695454
1313,37123,6.2,3,11.2,22682,32903,33861,17.83551164,12.4,13.1,20.44909318,30.4,33.7,77.1,76.7,73.1,55.3,32.1,31.1,10.10325655,10.9,17.3,0.932070688,0,-0.932070688,26822
1314,37125,4,3.1,10,28053,41240,48319,14.14516959,10.2,10.8,12.90664522,12.6,14.6,77.6,78.7,74.7,74.3,25.9,27.2,8.209211732,8,8.2,1.899182816,2.701654429,0.802471613,74769
1315,37127,4.2,3.4,8.4,25834,37147,44499,18.69581606,14.5,16.4,6.391825683,9.2,10.7,64.4,67.7,64.8,65.1,33.9,33.6,10.72716205,10.3,10.7,1.807366735,2.230610844,0.423244109,87420
1316,37129,4.6,3.8,7.7,27320,40172,48553,19.70061728,11.5,12.1,15.65806994,14.4,15.2,62.7,64.7,59.8,78.1,24.5,22.5,9.900898683,8.3,8.9,2.80087582,3.349822528,0.548946709,160307
1317,37131,4.7,4.3,11.5,18029,26652,30578,25.44294826,18.3,19.6,15.41118788,16.9,21.3,76.6,77,72.7,52.8,31.4,35.8,20.47763322,17,14.7,0,1.041383682,1.041383682,22086
